Авиакомпания;Часовой пояс;Шаблон
HX;Город в сообщении;1S BY {cty}{dd}{MMM}{yy}/{HH}{mm} OR CXL HX{fltnum} {cls}{fltdd}{fltMMM}
HY;Город в сообщении;1S.ISSUE TICKETS BY {dd}{MMM} {HH}{mm} LT {cty} OR CANX
IB;GMT;1S IB REMINDS YOU TO ISSUE AND ADV E-TKT IN PNR BY {dd}{MMM}{yyyy} {HH}{mm} GMT0
IZ;GMT;1S IZ PLZ PAY BY {dd}{MMM}{yy} {HH}{mm} GMT TO AVOID CANCELLATION
J2;Город в сообщении;1S AUTO XX IF SSR TKNA/E/M/C NOT RCVD BY J2 BY {HH}{mm}/{dd}{MMM}/{cty} LT
JL;Не указано;AA JL {cls}-CLS BY XX {dd}{MMM} XX USING SSR OR WILL BE XLD
JU;Не указано;1S {****} ROBOTAUTO-PROCESS {dd}{MMM}{yyyy}/{HH}{mm} - SET {msgMM}/{msgdd}/{msgyy} {msgHH}{msgmm}
KA;GMT;1S ADV TKT NBR TO CX/KA BY {dd}{MMM} {HH}{mm} GMT OR SUBJECT TO CANCEL
KA;GMT;1S ADV TKT NBR TO CX/KA BY {dd}{MMM} GMT {HH}{mm} OR SUBJECT TO CANCEL
KC;Город в сообщении;1S UNTIL {dd}{MMM}{yyyy}/{HH}{mm}/{cty}{dd}{MMM}{yyyy}/{HH}{mm}/{cty} OR XXLD
KE;Город в сообщении;1S TO KE BY {dd}{MMM} {HH}{mm} {cty} OTHERWISE WILL BE XLD
KK;Город в сообщении;1S TO KK BY {cty}{HH}{mm}/{dd}{MMM} OTHERWISE WILL BE XLD
KL;GMT;1S TO KL BY {dd}{MMM}{yy}/{HH}{mm}Z OTHERWISE WILL BE XXLD
KQ;GMT;1S TO KQ BY {dd}{MMM}{yy}/{HH}{mm}Z OTHERWISE WILL BE XXLD
KQ;GMT;1S TO KQ/KL BY {dd}{MMM}{yy}/{HH}{mm}Z OTHERWISE WILL BE XXLD
LA;Город в сообщении;1S PLS ADV TKT NBR BEFORE {dd}{MMM}{yy} {HH}{mm} {cty} LT OR AUTO CNL
LH;GMT;1S PLS ISS AUTOMATIC TKT BY {dd}{MMM}{yy}/{HH}{mm}Z OR LH OPTG/MKTG SEGS WILL BE XLD. APPLIC FARE RULE APPLIES IF ITDEMANDS EARLIER TKTG.
LO;Не указано;1S PLS ISSUE TKT BY {HH}{mm}/{dd}{MMM} OR LO ITIN WILL BE CXLD
LX;GMT;1S PLS ADV TKT NBR FOR ITIN BY {dd}{MMM}{yy}/{HH}{mm}Z OR LX OPTG/MKTG FLTS WILL BE CNLD  {msgdd}{msgMMM}{msgyy}{msgHH}{msgmm}
LY;Не указано;1S ADTK TO LY BY {dd}{MMM}{yyyy}/{HH}{mm} OR SPACE WILL BE CXLD AUTOMATICALLY
MH;Город в сообщении;1S AUTO XX IF SSR TKNA/E/M/C NOT RCVD BY MH BY {HH}{mm}/{dd}{MMM}/{cty} LT
MK;Не указано;1S PLS ADV TKT NO BY {HH}{mm}/{dd}{MMM}{yyyy} OR MK WILL CXL.
MS;Не указано;1S TO MS BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
MT;GMT;1S PLS ISSUE TIX FOR ALL DE/MT/HQ/DK SEGMENTS UNTIL {dd}{MMM}{yy}/{HH}{mm}Z OTHERWISE UNTICKETED SEGMENTS WILL BE CANCELLED/ {msgdd}{msgMMM}{msgyy}{msgHH}{msgmm}
MU;Город в сообщении;1S BY {cty}{dd}{MMM}{yy}/{HH}{mm} OR CXL MU{fltnum} {cls}{fltdd}{fltMMM}
OK;GMT;1S OK CANCELS IF NO TKT ADVISED BY {dd}{MMM} {HH}{mm}UTC
OK;Не указано;1S KK1 TO OK BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE CANCELLED
OS;GMT;1S PLS ADV TKT NBRS OF OS SEG LATEST {dd}{MMM}{yy} {HH}{mm}GMT OR SEG WILL BE CANX
OZ;Не указано;1S TO OZ BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
PC;GMT;1S ADV TKNE OR XX BY {dd}{MMM} {HH} {mm} GMT
PG;Город в сообщении;1S ADV TKTNBR BY {dd}{MMM}{yy} {HH}{mm} {cty} OR SEG WILL BE CXLD
PR;Город в сообщении;1S ADV TKT BY {dd}{MMM}{yy} {HH}{mm} {cty} OR SEG WILL BE CXLD
PS;Не указано;1S TO PS BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
PS;Город в сообщении;1S AUTO XX IF SSR TKNA/E/M/C NOT RCVD BY PS BY {HH}{mm}/{dd}{MMM}/{cty} LT
QR;Не указано;1S PLS TICKET BY {HH}{mm}/{dd}{MMM}{yyyy} LCLT AT BOARD POINT OR QR WILL CXL
R3;Город в сообщении;1S AUTO XX IF SSR TKNA/E/M/C NOT RCVD BY R3 BY {HH}{mm}/{dd}{MMM}/{cty} LT
RJ;Город в сообщении;1S AUTO XX IF SSR TKNA/E OR FA NOT RCVD BY RJ BY {dd}{MMM}{yy} {HH}{mm} {cty} LT
RJ;Не указано;1S TO RJ BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
RO;Не указано;1S ADTK BY {HH}{mm}/{dd}{MMM}{yyyy} OR RO SPACE WILL BE CXLD
S4;Город в сообщении;1S ADTK BY {HH}{mm} {cty}/{dd}{MMM}{yy} OR SP-S4 SPACE WILL BE CXLD
S7;Город в сообщении;1S.ISSUE TKT BY {dd}{MMM} {HH}{mm} LT {cty} OR PNR WILL BE CXLD
S7;Не указано;1S TO  S7  BY {dd}{MMM} OTHERWISE WILL BE XLD
SK;Город в сообщении;1S ADTK WITHIN TKT DEADLINE OR SK WILL CNL AT {HH}{mm} {cty}/{dd}{MMM}{yy}
SN;GMT;1S PLS ADV TKT NBR FOR ITIN BY {dd}{MMM}{yy}/{HH}{mm}Z OR SN OPTG/MKTG FLTS WILL BE CNLD  {msgdd}{msgMMM}{msgyy}{msgHH}{msgmm}
SP;Город в сообщении;1S ADTK BY {HH}{mm} {cty}/{dd}{MMM}{yy} OR SP-S4 SPACE WILL BE CXLD
